Ref,PosX,PosY,Rot,Side
C1,183,-87.8,-90,bottom
C2,183,-93.8,-90,bottom
C3,117.8,-88.75,-90,bottom
C4,127.8,-99.8,90,bottom
C5,126,-97,-90,bottom
C6,127,-108.9,90,bottom
C7,120.75,-84.25,-90,bottom
C8,120.6,-106.68,90,bottom
C9,165.175,-85,0,bottom
C10,166,-83,0,bottom
C11,173.2,-109.6,-90,bottom
D1,132.21,-90.9,0,bottom
D2,132.19,-87.9,0,bottom
D3,131.5,-102.9,90,bottom
D7,121.81,-79.6,180,bottom
J1,113.62,-80.95,90,bottom
Q1,127.45,-104.1875,-90,bottom
R1,114.545,-87.13,180,bottom
R2,114.475,-88.63,180,bottom
R3,178,-83.8,0,bottom
R4,142,-85,-90,bottom
R5,129,-90.9,180,bottom
R6,129,-87.9,180,bottom
R7,118.6,-92.42,90,bottom
R8,126,-93.9,90,bottom
R9,119.6,-96.4875,90,bottom
R10,124.93,-85.6,0,bottom
R11,183,-77,0,bottom
R12,194,-77,0,bottom
R13,125.2,-79.6,0,bottom
SW1,178,-87.8,0,bottom
SW2,178,-93.8,0,bottom
SW6,167.9,-109.5,0,bottom
U1,152.86,-88.7,180,bottom
U2,123,-100,0,bottom
U3,123.09,-89.54,90,bottom
U4,123.1375,-94.95,0,bottom
U5,124.1375,-106.95,180,bottom
