Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1uF,C15849
"C10, C3, C4",C_CASE-A-3216-18(mm),3,10uF,C7171
"C11, C2, C5, C9",0603,4,0.1uF,C14663
"C6, C8",0603,2,2.2uF,C23630
C7,C_CASE-B-3528-21(mm),1,100uF,C122271
D1,D_0603,1,YEL_LED,C2290
"D2, D7",D_0603,2,RED_LED,C2286
D3,D_DO-214AC(SMA),1,SS14,C2480
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USBC,C2765186
J3,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,3.7V Battery,C173752
Q1,SOT-23,1,AO3401A,C20917
"R1, R2",R_0603,2,5.1k,C23186
"R10, R3, R4",0805,3,10k,C17414
"R11, R12, R13, R5, R6, R9",R_0603,6,1k,C21190
R7,R_0603,1,2.2k,C4190
R8,R_0603,1,100,C22775
"SW1, SW2, SW6",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,3,SW4X2,C318884
U1,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,C2944070
U2,SOT-23-6,1,FS8205A,C908265
U3,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056,C16581
U4,SOT-23-6,1,DW01A,C351410
U5,SOT-23-5,1,TLV75733PDBV,C485517
