Designator,Mid X,Mid Y,Rotation,Layer
C1,73.4,61.2,270.0,bottom
C10,56.4,66.0,180.0,bottom
C11,63.6,39.4,270.0,bottom
C2,73.4,55.2,270.0,bottom
C3,8.2,60.25,270.0,bottom
C4,18.2,49.2,90.0,bottom
C5,16.4,52.0,270.0,bottom
C6,17.4,40.1,90.0,bottom
C7,11.15,64.75,270.0,bottom
C8,11.0,42.32,90.0,bottom
C9,55.575,64.0,180.0,bottom
D1,22.61,58.1,180.0,bottom
D2,22.59,61.1,180.0,bottom
D3,21.9,46.1,90.0,bottom
D7,12.21,69.4,0.0,bottom
J1,4.02,68.05,90.0,bottom
Q1,17.85,44.8125,90.0,bottom
R1,4.945,61.87,0.0,bottom
R10,15.33,63.4,180.0,bottom
R11,73.4,72.0,180.0,bottom
R12,84.4,72.0,180.0,bottom
R13,15.6,69.4,180.0,bottom
R2,4.875,60.37,0.0,bottom
R3,68.4,65.2,180.0,bottom
R4,32.4,64.0,270.0,bottom
R5,19.4,58.1,0.0,bottom
R6,19.4,61.1,0.0,bottom
R7,9.0,56.58,90.0,bottom
R8,16.4,55.1,90.0,bottom
R9,10.0,52.5125,90.0,bottom
SW1,68.4,61.2,180.0,bottom
SW2,68.4,55.2,180.0,bottom
SW6,58.3,39.5,180.0,bottom
U1,43.26,60.3,0.0,bottom
U2,13.4,49.0,0.0,bottom
U3,13.49,59.46,90.0,bottom
U4,13.5375,54.05,0.0,bottom
U5,14.5375,42.05,180.0,bottom
